sym,date,dir,pnl_pct,win,spy_aligned,vwap_side,rs_vs_spy,above_sma50_d,vix_level,adx14_d,rsi14_d,gap_pct,prior_day_match,or_size_vs_atr
NFLX,2026-04-20,SHORT,0.7453838818043714,1,0,1,1.694674238778263,0,18.8700008392334,37.67842267990121,48.56340839311923,0.16956214126713026,0,0.5203527267649319
AMD,2026-03-25,LONG,0.4102183443101111,1,0,1,3.8226421324506474,0,25.329999923706055,11.873382317538912,51.19857342141064,2.9872960566241735,1,0.803944276586919
INTC,2026-03-20,SHORT,2.289903934591426,1,1,1,3.4059674967361317,1,26.780000686645508,9.033515221813232,51.542786964173324,-1.5807698947860573,0,0.7378703717765388
INTC,2026-04-01,LONG,0.03125198454473322,1,1,1,6.459051151775182,0,24.540000915527344,9.498035109231502,48.23764340656678,1.9941020442299138,1,0.8569308078667566
INTC,2026-04-14,SHORT,-0.773849780209095,0,0,1,3.3022342649410583,0,18.360000610351562,25.40537658038179,77.84388950664706,0.03067910858051709,0,0.8165544689607046
CRM,2026-01-29,SHORT,-2.3622812532287747,0,1,1,2.419062016407597,1,16.8799991607666,29.942677467627377,34.90983607946717,4.714911427190244,1,1.1402464291648515
CRM,2026-02-03,SHORT,1.0257333190278584,1,1,1,2.585139442952846,1,18.0,32.487511090755135,25.181024319143262,2.5128260089831227,1,0.6274358392483003
CRM,2026-02-11,SHORT,-0.15435649449351369,0,1,1,3.4532709960847283,1,17.649999618530273,41.29515449667379,24.994881225783004,-0.09462838609615089,0,0.9243421812983382
CRM,2026-02-13,LONG,-1.8293332444737624,0,1,1,3.4639197734037737,0,20.600000381469727,43.552072313187935,22.217756743768845,0.7961459898236458,0,0.8589176219221188
CRM,2026-02-23,SHORT,-1.5211064704116144,0,1,1,2.6838716367770052,1,21.010000228881836,43.55175438020164,28.39097527308948,1.8560399617559704,1,0.7186669379832329
ORCL,2026-01-29,SHORT,-4.4952556913354496,0,1,1,3.8775484978227563,1,16.8799991607666,22.652227110449036,35.82834503031363,1.1896637066261795,1,0.8185388907925427
ORCL,2026-02-05,SHORT,2.392276984594761,1,1,1,3.3348740575544866,1,21.770000457763672,29.580969721283992,23.582804782224898,0.3828072882465384,1,0.5117504734881954
ORCL,2026-02-11,SHORT,-1.7092906712928773,0,1,1,4.669721518428124,1,17.649999618530273,32.17830705674849,41.69235064427369,-2.7153687085936222,1,0.616502844332483
ORCL,2026-04-13,LONG,5.4324925478652375,1,1,1,5.304838223296281,0,19.1200008392334,12.096311531271327,38.41555988337815,1.2166036491590042,1,0.8350832160762195
ORCL,2026-04-24,SHORT,-0.899535159762178,0,1,1,4.727834541724893,0,18.709999084472656,25.537793124093593,61.72719348846672,-2.3967586412371977,1,0.7416551332598815
ADBE,2026-03-17,LONG,-1.67504906423779,0,1,1,2.3732588821252256,0,22.3700008392334,29.601658489636062,35.87672645243747,0.23227456223675697,1,0.5605008471603078
ADBE,2026-04-16,SHORT,-0.6321940145699775,0,1,1,2.2557732977291556,1,17.940000534057617,33.70217709889117,48.756521769662,-3.408810681376706,0,0.7422523441343865
SPY,2026-02-02,LONG,0.11156486994627085,1,1,1,0.0,1,16.34000015258789,11.093718339870108,54.1928879071401,-0.07322428672433687,1,0.687051893555069
SPY,2026-03-03,SHORT,-1.5212365175489861,0,1,1,-0.0,1,23.56999969482422,13.667109728752795,48.8440441746423,1.380639288982224,0,0.6298283896344548
SPY,2026-03-20,SHORT,0.5139102968762201,1,1,1,-0.0,1,26.780000686645508,32.30697938720038,35.341448439457224,0.22689577070030845,0,0.40353529604792215
IWM,2026-03-02,LONG,0.9915000098718908,1,1,1,0.6257632324539687,1,21.440000534057617,10.325678149207485,48.48309742632128,-1.2017182741054417,0,0.4856062633172531
IWM,2026-03-20,SHORT,0.5092634051457506,1,1,1,0.7007817700283118,1,26.780000686645508,30.44622621803789,39.053088802860444,0.26652814646662576,0,0.4537085267521288
DIA,2026-04-17,LONG,-0.15152739876917282,0,1,1,0.43743354675280455,1,17.479999542236328,21.89704615319198,62.772124020603435,1.0807051311631426,0,0.4606984095216723
XLK,2026-01-29,SHORT,-1.2969022743868248,0,1,1,0.8825437804294074,0,16.8799991607666,12.811222972011496,61.63210162293603,0.8082686445411614,0,0.8011780296131925
XLK,2026-02-11,SHORT,-1.024877715599157,0,1,1,1.1389370177282927,1,17.649999618530273,19.84813542386259,47.80472131675492,-1.500993081226885,1,0.4612432029386727
XLK,2026-02-26,SHORT,-0.8945183561347066,0,1,1,1.1438997989322242,1,18.6299991607666,20.381731954596834,52.15198992154563,-0.07533653595514164,0,0.49150813426663037
XLF,2026-03-09,SHORT,-2.16178312108135,0,1,1,0.9624493022104315,1,25.5,30.7768231249746,37.535825454527334,0.7779236167098106,0,0.7352904941227393
XLE,2026-03-23,LONG,-0.050299764594031515,0,1,1,2.579255448273897,1,26.149999618530273,47.76512406502832,75.53267497096346,-1.756476212992745,0,1.444135275462143
GS,2026-02-06,LONG,0.08784957426542347,1,1,1,1.5721283078438897,0,20.3700008392334,23.879176499974037,40.51012266661576,2.4974946773737754,0,0.616269018500204
V,2026-02-02,LONG,0.5706944852656676,1,1,1,1.4839395001859321,0,16.34000015258789,28.209252630516268,35.5733717204983,1.1403053756153896,0,1.0568472578029482
V,2026-02-23,SHORT,1.592267018934114,1,1,1,1.8790954444606922,1,21.010000228881836,23.690297791108303,43.234214434624924,0.5951093907039058,0,0.8869461972965131
MA,2026-02-23,SHORT,2.1119996011789306,1,1,1,2.1313014508297052,1,21.010000228881836,22.93344062633917,43.13486337588926,0.958489089020146,0,1.0388246267654992
MA,2026-03-31,SHORT,-1.324194170835065,0,0,1,1.9311714566848954,1,25.25,24.000616587404185,42.06006817541886,-1.38851020153813,0,0.43291281531362796
JNJ,2026-02-20,SHORT,-0.5577099737304467,0,0,1,2.8089755321863668,0,19.09000015258789,43.67189482309744,83.96246055580116,-0.35246185898220456,0,0.5597035378986791
UNH,2026-02-25,LONG,0.9072321973479804,1,1,1,1.4246276351719693,0,17.93000030517578,37.41129352825623,35.51710350800013,2.00426739402017,0,0.5131441047552663
UNH,2026-04-08,SHORT,0.19738673661496084,1,1,1,1.430296444189027,0,21.040000915527344,28.080104005331293,67.46556882129892,-1.3875764017899388,1,0.4662506403803251
HD,2026-02-03,LONG,-2.4734823646361135,0,0,1,4.203028322010114,1,18.0,15.916395624907501,57.42462541180368,0.4475887536104713,1,1.2283673349372353
HD,2026-02-04,LONG,-0.411548121293188,0,0,1,1.1520470956047544,1,18.639999389648438,16.81716379178055,59.66685721852605,1.5904538107771495,1,0.4817969036573981
HD,2026-02-09,SHORT,-0.36357058149584937,0,0,1,1.6117493118271102,0,17.360000610351562,17.71424885007676,60.64663809828377,-0.46207243503295387,0,0.7230436961395817
HD,2026-02-23,SHORT,-1.6282102340012852,0,1,1,2.1499363177512523,0,21.010000228881836,16.598971265867885,52.989812678866045,-0.3367281010398088,0,1.0700854285132815
HD,2026-02-25,SHORT,-0.9162735459357361,0,0,1,2.4787016580834105,0,17.93000030517578,15.711671180080463,54.57732400028739,0.22428338028110495,1,0.7940019771345221
HD,2026-03-09,SHORT,-2.1892693985795595,0,1,1,2.3486091053358957,1,25.5,19.78728157008802,36.15256518835433,-0.01603373883185286,0,0.9216912115959937
HD,2026-04-17,LONG,-0.5252810170029927,0,1,1,2.0117842577573777,0,17.479999542236328,29.798457099943313,48.7306778285253,1.6876768632400625,0,0.5301582138172085
COST,2026-03-06,LONG,0.17060002846906733,1,1,1,2.9362438051553443,1,29.489999771118164,21.51590230028199,49.44963054193533,-1.5841112923641547,0,1.4933102221047196
WMT,2026-02-03,LONG,1.1201274092308882,1,0,1,2.684629398358628,1,18.0,20.97013261327145,72.50635942972164,-0.012854730636391126,1,0.8997166788841839
WMT,2026-02-27,LONG,0.807819291974642,1,1,1,0.8968955659021138,1,19.860000610351562,26.073953182901565,50.365640003520625,1.0710139457993932,0,0.5421127183511896
BA,2026-03-11,SHORT,0.525014935861402,1,1,1,1.0324204658648906,1,24.229999542236328,21.091936524986128,37.303793748914295,-0.08266345477183674,1,0.2876904873224605
BA,2026-03-12,SHORT,1.0246967583941964,1,1,1,2.045070770864609,1,27.290000915527344,21.641026046881343,34.816477616856304,0.8827647528111876,1,0.6796720749689179
BA,2026-03-16,LONG,-0.9419947931772041,0,1,1,1.9710798165097942,0,23.510000228881836,24.82636791926692,35.34701568750698,0.40973872640545483,1,0.4831915156741418
BA,2026-04-01,LONG,-0.3914799101586882,0,1,1,2.1294000641757203,0,24.540000915527344,37.214004820433814,40.51869301708552,2.2458932061090358,1,0.4112861576274783
BA,2026-04-17,LONG,-2.8546591008464772,0,1,1,2.6585635803654903,0,17.479999542236328,23.868251212847767,54.694227790688124,1.914292008376718,0,0.9552458086465105
CAT,2026-02-24,LONG,-0.2466154934896441,0,1,1,1.3946451972313851,1,19.549999237060547,37.904832093207254,65.7524931664289,-0.00430865385447081,0,0.6536114385639923
CAT,2026-03-03,SHORT,-1.8744679869314176,0,1,1,1.8742127813570766,0,23.56999969482422,35.830703869721866,60.44628058565125,3.0124797308924163,0,0.6768524002305081
XOM,2026-03-02,SHORT,-0.3775807751774737,0,0,1,4.299054670476633,0,21.440000534057617,44.82720099280142,64.78724487915335,-4.491807280993852,0,1.3359323878764062
XOM,2026-03-23,LONG,0.13673165260942374,1,1,1,2.6213214748931315,1,26.149999618530273,37.137478202288605,67.94625048350701,-2.2264625268046574,1,1.0602871007666856
XOM,2026-03-24,LONG,-0.23527956236289205,0,1,1,2.3248431052056393,1,26.950000762939453,35.77896398233074,69.83584620089421,0.3599589235266978,1,0.984009691161699
CVX,2026-03-12,LONG,0.6025745047536728,1,0,1,2.1391060781469475,1,27.290000915527344,44.18297271568149,66.92157630526779,0.4119133284202455,1,0.6613945128383921
CVX,2026-03-23,LONG,0.3913717711586273,1,1,1,2.4688062528670742,1,26.149999618530273,48.239479348843155,76.85638714261324,-1.5391839554355307,1,1.2462011886454332
CVX,2026-03-24,LONG,-1.118865996327647,0,1,1,1.320001634714631,1,26.950000762939453,47.68917074552296,79.87633931698231,0.4093349790012271,1,0.5430384917891656
CVX,2026-04-17,SHORT,-2.5358096402419092,0,0,1,1.7893461354899536,1,17.479999542236328,26.82427786988078,42.22510480989395,3.327129795327039,0,0.5146374764773789
